                        City  Year  Month  Average Temperature (celsius)  Max Temperature (celsius)  Min Temperature (celsius)  Average Wind Speed (m/s)  Total Precipitation (mm)  Max Snow Depth (cm)  Total Precipitation (mm)_ZScore
3798                Ай-Петрі  2015     10                            6.2                       15.2                       -2.2                       2.8                    152.60                  0.0                         2.911255
3799                Ай-Петрі  2015     11                            4.6                       14.4                       -3.8                       5.9                    123.80                  8.0                         2.138567
3877               Бобринець  2015      6                           20.5                       31.6                       12.2                       2.6                    162.00                  0.0                         3.163452
3900                   Броди  2015      5                           13.7                       27.6                        0.6                       2.0                    120.20                  0.0                         2.041981
4030                Губиниха  2015      6                           20.9                       30.5                       12.3                       1.9                    120.70                  0.0                         2.055396
4057                Дрогобич  2015      5                           13.6                       26.1                        3.0                       1.8                    126.30                  0.0                         2.205641
4176                    Ізюм  2015      4                            9.1                       24.5                       -1.4                       2.3                    125.90                  0.0                         2.194909
4287             Комісарівка  2015      4                            9.1                       23.3                       -1.5                       2.4                    126.80                  0.0                         2.219055
4289             Комісарівка  2015      6                           20.4                       30.5                        9.5                       1.6                    130.30                  0.0                         2.312958
4399                Феодосія  2015      2                            3.6                       14.9                       -7.6                       2.8                    326.10                  8.0                         7.566162
4452                    Хуст  2015     11                            5.4                       15.6                       -3.8                       1.0                    164.33                  0.0                         3.225964
4471                 Черкаси  2015      6                           19.5                       31.3                       11.0                       3.1                    129.30                  0.0                         2.286129
4531                 Чигирин  2015      6                           19.9                       31.2                       10.9                       1.8                    170.10                  0.0                         3.380770
4578                    Ялта  2015     10                           14.0                       24.5                        5.1                       2.1                    119.82                  0.0                         2.031786
4598                Ай-Петрі  2016      1                           -4.6                        7.2                      -18.0                       4.4                    156.20                 25.0                         3.007841
4605                Ай-Петрі  2016      8                           18.5                       25.8                        6.6                       2.8                    172.30                  0.0                         3.439795
4609                Ай-Петрі  2016     12                           -5.2                        4.4                      -15.6                       3.7                    166.10                 79.0                         3.273452
4617                  Алушта  2016      8                           26.7                       34.3                       16.7                       2.6                    121.50                  0.0                         2.076859
